frame_size,compress_ratio,ratio,D1
4,1,7.222371967654986,90.54135978033872
4,2,6.00385059684251,87.61404458717635
4,3,4.008984725965858,78.26011616653436
4,4,3.0095623154922344,71.28414043220876
4,5,2.408676678218457,66.82475530583694
4,6,2.0082787832113977,64.28456764696682
4,7,1.7230779104094467,61.9862722369396
4,8,1.509433962264151,60.50226895330661
4,9,1.3423822359132331,58.6541386664407
4,10,1.2096649980747016,57.43441741151053
8,1,6.117394094993582,89.38367681850069
8,2,6.005327342747112,89.06975741956248
8,3,4.008023106546855,81.91763678079087
8,4,3.0078947368421054,75.1410894616272
8,5,2.408857509627728,70.39274567624679
8,6,2.0087291399229783,67.25487151612393
8,7,1.7234916559691913,65.01786298190777
8,8,1.5096919127086008,63.030764624209176
8,9,1.3428754813863928,61.504838964415136
8,10,1.2094351732991013,60.51130388234186
16,1,5.6155624036979965,88.0947174203993
16,2,5.6155624036979965,88.0947174203993
16,3,4.008731381612738,82.57336907016116
16,4,3.008025166923472,76.54469799276056
16,5,2.4078710837185415,71.83996318958657
16,6,2.0093091936312275,68.63722724325837
16,7,1.7191191576784797,66.26754349444785
16,8,1.5081535695942476,64.5410577761181
16,9,1.342064714946071,63.123092468053635
16,10,1.2092963533641499,61.52354576021318
32,1,5.408915724563206,86.68598446139507
32,2,5.408915724563206,86.68598446139507
32,3,4.008221993833504,81.42534516990679
32,4,3.0034044193216856,75.79774624301214
32,5,2.406988694758479,71.37879475882983
32,6,2.0043679342240495,68.07205256781674
32,7,1.7178186022610482,66.27642431907819
32,8,1.50558838643371,64.27626876436021
32,9,1.3431397738951696,63.05006952979548
32,10,1.2058710174717369,61.98759966121284
64,1,5.253729423868313,85.05601213212225
64,2,5.253729423868313,85.05601213212225
64,3,3.9996141975308643,79.98196049164311
64,4,3.009645061728395,74.61870044987207
64,5,2.4084362139917697,70.33818639978968
64,6,1.992798353909465,67.67535792533822
64,7,1.7234439300411524,65.66873367584954
64,8,1.5052726337448559,64.20750704080262
64,9,1.3369341563786008,62.455232286291995
64,10,1.196437757201646,61.408146209895605
128,1,5.2201003086419755,85.1004968846936
128,2,5.2201003086419755,85.1004968846936
128,3,3.990869341563786,79.66383635977692
128,4,3.008809156378601,74.2130135621902
128,5,2.401556069958848,70.07556683234708
128,6,1.994212962962963,67.48337692591691
128,7,1.7166280864197532,65.49626105258805
128,8,1.5055298353909465,64.21129727289232
128,9,1.3310185185185186,62.50815205164508
128,10,1.207497427983539,61.61761751802899
256,1,5.235537190082645,84.87365049649944
256,2,5.235537190082645,84.87365049649944
256,3,4.0046487603305785,79.55524773638298
256,4,3.009426652892562,73.97664383622421
256,5,2.4001162190082646,69.8906492769337
256,6,2.000710227272727,67.41945948183027
256,7,1.7177169421487604,65.51146508456524
256,8,1.506069214876033,64.25548712939414
256,9,1.329610020661157,62.70196434309287
256,10,1.1998321280991735,61.72193666692103
512,1,4.9921875,80.6086877433762
512,2,4.9921875,80.6086877433762
512,3,4.005533854166667,77.4554168843955
512,4,2.996354166666667,72.67722452086727
512,5,2.4081380208333334,69.52376021868685
512,6,2.001692708333333,66.9386571140089
512,7,1.7159505208333334,65.38717734105103
512,8,1.499609375,63.87358138568126
512,9,1.333984375,62.5423181005727
512,10,1.2021484375,61.64858410569907
1024,1,4.803450520833334,79.9594893619872
1024,2,4.803450520833334,79.9594893619872
1024,3,3.994140625,76.50590775487672
1024,4,3.0077473958333334,72.12778533101931
1024,5,2.406966145833333,68.73691971210899
1024,6,2.0057942708333334,66.44374064329159
1024,7,1.7168619791666666,64.78425748206509
1024,8,1.5056640625,63.625015674373344
1024,9,1.3325520833333333,62.26890635839055
1024,10,1.2050130208333334,61.150314983616454
2048,1,4.6099609375,78.92069081833681
2048,2,4.6099609375,78.92069081833681
2048,3,4.0080078125,75.46517012004068
2048,4,3.0026041666666665,71.0518629932779
2048,5,2.4067057291666667,67.94437535725828
2048,6,2.0087239583333334,66.28640569992743
2048,7,1.7229166666666667,64.3851205541315
2048,8,1.5074869791666667,63.12116431148026
2048,9,1.3414713541666667,61.953298370035476
2048,10,1.2074869791666667,60.73148477900192
4096,1,4.564662388392857,64.91656883014039
4096,2,4.564662388392857,64.91656883014039
4096,3,4.009835379464286,64.70280985993944
4096,4,3.0094168526785716,64.15892601427527
4096,5,2.408900669642857,63.34024878791943
4096,6,2.0106026785714284,62.40959075500972
4096,7,1.7244698660714286,61.26743890412509
4096,8,1.5088588169642858,60.38165249518496
4096,9,1.3436802455357142,59.651555616621835
4096,10,1.2084263392857142,58.671957851917604
8192,1,5.07958984375,52.360210415518054
8192,2,5.07958984375,52.360210415518054
8192,3,4.012125651041667,52.408890348033445
8192,4,3.0125325520833335,52.5687100747208
8192,5,2.4105631510416665,52.37615951349194
8192,6,2.01171875,52.24673872123442
8192,7,1.7257486979166667,51.90693983912041
8192,8,1.5113118489583333,51.516805203697004
8192,9,1.3448893229166667,51.231842674804604
8192,10,1.2122395833333333,51.01911083605828
