frame_size,threshold,ratio,psnr
4,0.00392156862745098,191.70201178882624,49.055349816591274
4,0.00784313725490196,216.69213499420627,46.41246063607142
4,0.011764705882352941,225.76661887874442,45.14162076684521
4,0.01568627450980392,230.3021089901478,42.72212848053104
4,0.0196078431372549,233.33736255166497,38.23345427077805
4,0.023529411764705882,235.5972440944882,33.53674309828556
4,0.027450980392156862,237.84459459459458,33.76961239142256
4,0.03137254901960784,240.25092339810502,32.672788370086046
4,0.03529411764705882,242.1956451351789,30.44298140545607
4,0.0392156862745098,243.37766390108996,30.480339126593115
8,0.00392156862745098,166.81867856147198,51.355796664069835
8,0.00784313725490196,199.18068038080023,49.952747469358144
8,0.011764705882352941,218.68964256998757,48.73522720320045
8,0.01568627450980392,229.5628788460063,46.41290077777651
8,0.0196078431372549,236.28913283841416,42.29808617727521
8,0.023529411764705882,240.99017317760774,40.31390847744434
8,0.027450980392156862,245.7406981519507,37.55561835260489
8,0.03137254901960784,249.42834514380993,36.13338028725608
8,0.03529411764705882,252.03377979951142,35.97209187847609
8,0.0392156862745098,255.4553449453552,33.02261634100864
16,0.00392156862745098,154.98440576106103,52.90771384608149
16,0.00784313725490196,168.6117123210461,51.96882548158679
16,0.011764705882352941,187.64954209007652,51.15612269398446
16,0.01568627450980392,203.03441020768292,50.079751949109195
16,0.0196078431372549,217.99234861181958,48.1943384497193
16,0.023529411764705882,227.73363276492083,46.659014112764055
16,0.027450980392156862,233.4927411801436,42.742034971797864
16,0.03137254901960784,238.72867289122976,40.28365508802508
16,0.03529411764705882,243.94593492620078,39.43723058321731
16,0.0392156862745098,249.0848459616986,38.90089454702299
32,0.00392156862745098,157.74782425233397,53.13168909434148
32,0.00784313725490196,157.74782425233397,53.13168909434148
32,0.011764705882352941,157.8560646046659,53.088043172568774
32,0.01568627450980392,164.60680279597116,52.81266059214305
32,0.0196078431372549,173.96120288506282,52.12338057871044
32,0.023529411764705882,184.72767140210007,51.42689555118075
32,0.027450980392156862,191.99723951980485,50.946482220745594
32,0.03137254901960784,199.8624031007752,50.048440022427165
32,0.03529411764705882,208.70488485694347,48.347209596577024
32,0.0392156862745098,216.0003611151235,43.376891407100224
64,0.00392156862745098,158.91573631047316,52.95440490956909
64,0.00784313725490196,158.91573631047316,52.95440490956909
64,0.011764705882352941,158.91573631047316,52.95440490956909
64,0.01568627450980392,158.91573631047316,52.95440490956909
64,0.0196078431372549,158.91573631047316,52.95440490956909
64,0.023529411764705882,157.65849156118142,52.9131916043155
64,0.027450980392156862,157.5670760634653,52.91048739530651
64,0.03137254901960784,162.908332879176,52.76840160510428
64,0.03529411764705882,165.73547349744953,52.54815263847022
64,0.0392156862745098,172.96638120587895,52.312417629431785
128,0.00392156862745098,158.9975507161493,52.84885125658688
128,0.00784313725490196,158.9975507161493,52.84885125658688
128,0.011764705882352941,158.9975507161493,52.84885125658688
128,0.01568627450980392,158.9975507161493,52.84885125658688
128,0.0196078431372549,158.9975507161493,52.84885125658688
128,0.023529411764705882,158.9975507161493,52.84885125658688
128,0.027450980392156862,158.9975507161493,52.84885125658688
128,0.03137254901960784,158.9975507161493,52.84885125658688
128,0.03529411764705882,158.9975507161493,52.84885125658688
128,0.0392156862745098,158.9975507161493,52.84885125658688
256,0.00392156862745098,159.5326958008334,52.705743049314236
256,0.00784313725490196,159.5326958008334,52.705743049314236
256,0.011764705882352941,159.5326958008334,52.705743049314236
256,0.01568627450980392,159.5326958008334,52.705743049314236
256,0.0196078431372549,159.5326958008334,52.705743049314236
256,0.023529411764705882,159.5326958008334,52.705743049314236
256,0.027450980392156862,159.5326958008334,52.705743049314236
256,0.03137254901960784,159.5326958008334,52.705743049314236
256,0.03529411764705882,159.5326958008334,52.705743049314236
256,0.0392156862745098,159.5326958008334,52.705743049314236
512,0.00392156862745098,158.8931929899551,52.631026470732166
512,0.00784313725490196,158.8931929899551,52.631026470732166
512,0.011764705882352941,158.8931929899551,52.631026470732166
512,0.01568627450980392,158.8931929899551,52.631026470732166
512,0.0196078431372549,158.8931929899551,52.631026470732166
512,0.023529411764705882,158.8931929899551,52.631026470732166
512,0.027450980392156862,158.8931929899551,52.631026470732166
512,0.03137254901960784,158.8931929899551,52.631026470732166
512,0.03529411764705882,158.8931929899551,52.631026470732166
512,0.0392156862745098,158.8931929899551,52.631026470732166
1024,0.00392156862745098,159.72212293528295,52.37385389379439
1024,0.00784313725490196,161.55951794029033,52.2511087997982
1024,0.011764705882352941,167.8104694167852,51.983108580829466
1024,0.01568627450980392,167.8295680874068,51.97133771565824
1024,0.0196078431372549,168.01122251338725,51.95629021826697
1024,0.023529411764705882,168.0207941662394,51.95566755957173
1024,0.027450980392156862,167.7627417519909,51.94033714490028
1024,0.03137254901960784,168.46227223396355,51.91081736945743
1024,0.03529411764705882,168.49114488117002,51.89295113675178
