frame_size,highres,ratio,psnr
4,0,191.70201178882624,49.055349816591274
4,0.1,191.70201178882624,49.055349816591274
4,0.2,191.70201178882624,49.055349816591274
4,0.3,127.45293065258136,47.99931236563816
4,0.4,127.45293065258136,47.99931236563816
4,0.5,104.50508190422968,50.315620911639485
4,0.6,104.50508190422968,50.315620911639485
4,0.7,104.50508190422968,50.315620911639485
4,0.8,85.67663144632478,51.65265131730645
4,0.9,85.67663144632478,51.65265131730645
4,1,77.30886494586983,52.861514983476106
8,0,166.81867856147198,51.355796664069835
8,0.1,166.81867856147198,51.355796664069835
8,0.2,157.05475065616798,46.622497920358086
8,0.3,139.1513417980559,49.39845152002009
8,0.4,123.5553582490192,50.87255629532237
8,0.5,110.63874713408771,51.770029642456734
8,0.6,110.63874713408771,51.770029642456734
8,0.7,100.37214841653247,52.44979311876888
8,0.8,90.57010958406491,53.031132384059944
8,0.9,82.61474527129643,53.404896446388804
8,1,78.71952535059332,53.99841445122247
16,0,154.98440576106103,52.90771384608149
16,0.1,168.37445826532334,45.9647013198863
16,0.2,152.4568851289369,50.02591378454488
16,0.3,145.30352632601515,50.83392884839755
16,0.4,125.64614221512873,51.75120325381375
16,0.5,112.38247116721139,52.54040842542403
16,0.6,105.87913215827848,52.96462316249935
16,0.7,97.15530512162645,53.515854145601736
16,0.8,93.54604584258419,53.64398714269448
16,0.9,86.40485818265843,53.90542746678804
16,1,80.54899162605348,54.37762996152051
32,0,157.74782425233397,53.13168909434148
32,0.1,161.69663711072664,48.92715984519876
32,0.2,149.8968023255814,50.58006025193808
32,0.3,138.10218876985593,51.643527460671365
32,0.4,124.94740140374331,52.328652930444775
32,0.5,112.53964252116651,52.98694134523864
32,0.6,104.9898546654497,53.226543036689876
32,0.7,99.28430103243369,53.36891009706177
32,0.8,92.49523721160388,53.65355257476452
32,0.9,87.99402730375427,53.913323041960936
32,1,83.30290791599354,54.21215321465459
64,0,158.91573631047316,52.95440490956909
64,0.1,158.33492240055088,49.42790668207323
64,0.2,144.00949077419665,50.97330902976239
64,0.3,131.9387800141243,51.78778692280118
64,0.4,121.53215970076435,52.3375340972818
64,0.5,111.70839717478232,52.68624133415447
64,0.6,106.51006591840371,52.956023825799974
64,0.7,99.60364533004565,53.06325054169677
64,0.8,92.40200927357033,53.33346694126662
64,0.9,87.73458366352617,53.590886822953046
64,1,84.74004252303331,53.68861295258799
128,0,158.9975507161493,52.84885125658688
128,0.1,152.6184708167229,49.52020422651959
128,0.2,139.51936644395644,51.051456572953896
128,0.3,132.98298819861947,51.50323240618399
128,0.4,120.79826051779935,51.96642987352299
128,0.5,115.17020209811787,52.25000068308547
128,0.6,108.70128499144552,52.22302823800426
128,0.7,100.84198973389167,52.22567612659485
128,0.8,94.96066272339884,52.23817369829598
128,0.9,90.8937692143792,52.2349153318401
128,1,88.39420401397194,52.27023656108096
256,0,159.5326958008334,52.705743049314236
256,0.1,148.21725318906041,49.65762482194342
256,0.2,138.2789071544339,50.898640182028984
256,0.3,124.85399506627085,51.18252149353861
256,0.4,117.05735005880047,51.147134194735926
256,0.5,109.33410222612771,51.14772752626463
256,0.6,102.72922113664511,51.13928462807017
256,0.7,99.48139387680314,51.13539529861236
256,0.8,92.68236133958223,51.14040783476308
256,0.9,89.01606748941752,51.13487794231397
256,1,85.44747760895069,51.14412763185244
512,0,158.8931929899551,52.631026470732166
512,0.1,146.1420708634331,50.215494175553744
512,0.2,134.95393900889454,51.01878733522504
512,0.3,126.35303365057784,51.01682317993877
512,0.4,115.23851042393242,51.03321815528866
512,0.5,107.84178270960255,51.04795095779021
512,0.6,102.3557857782061,51.044923204661
512,0.7,97.17812561270505,51.04742412817125
512,0.8,91.32589134907717,51.05732998169786
512,0.9,87.16607556350206,51.06370779777862
512,1,83.11240602554429,51.077628266818344
1024,0,159.72212293528295,52.37385389379439
1024,0.1,144.65000735690813,51.38516593825925
1024,0.2,133.39072817729533,51.49276348724017
1024,0.3,124.15360976636498,51.57312479250714
1024,0.4,115.77110893032385,51.5976544834141
1024,0.5,107.97645895877572,51.63184672592947
1024,0.6,101.27288647757709,51.666772767915404
1024,0.7,95.39620261353345,51.70898495529038
1024,0.8,90.45727518095939,51.732005891661
1024,0.9,85.5629406133047,51.76740273424166
1024,1,81.43102877022476,51.80305941058744
2048,0,159.8000108365843,52.30318175924408
2048,0.1,144.2679156679548,49.78199319492413
2048,0.2,132.8320046840517,50.09106010754457
2048,0.3,123.16332581642028,50.30226772669132
2048,0.4,115.10690032003747,50.33953582555171
2048,0.5,107.6768528660095,50.367814018968474
2048,0.6,100.63360289350668,50.3844523374232
2048,0.7,94.74345465642969,50.397656946115305
2048,0.8,89.67887007024052,50.41430303439868
2048,0.9,85.49349218772647,50.42745379535696
2048,1,81.44677031841154,50.44825882196751
4096,0,158.85322632769578,52.047948140585504
4096,0.1,144.29614951807818,48.803361830464674
4096,0.2,132.47401518214076,49.23876885455945
4096,0.3,122.64602653137605,49.25912700606009
4096,0.4,115.00366543185807,49.274487701125736
4096,0.5,107.645412073874,49.2800834710596
4096,0.6,101.28679854385604,49.29242333422293
4096,0.7,95.57860453057653,49.29993592145475
4096,0.8,90.28005999755112,49.30899252318781
4096,0.9,85.97950556818844,49.31217603055788
4096,1,81.8922918864886,49.32383999619581
8192,0,158.89292311244517,51.31784624640228
8192,0.1,143.81718913270637,48.25278027358327
8192,0.2,131.09782349859503,48.335466229404474
8192,0.3,120.87388574188732,48.34679937457043
8192,0.4,111.94229361529077,48.36600315123174
8192,0.5,105.23208960929735,48.37947854979574
8192,0.6,98.6228010461825,48.379668332250716
8192,0.7,92.77277476323682,48.38498682814546
8192,0.8,87.84060375913457,48.39240176603181
8192,0.9,82.88401433260064,48.403399579618934
8192,1,78.89541415878475,48.407421575494745
